,organization,Parameters,arc:challenge|25,hellaswag|10,MMLU_average,MMLU_abstract_algebra,MMLU_anatomy,MMLU_astronomy,MMLU_business_ethics,MMLU_clinical_knowledge,MMLU_college_biology,MMLU_college_chemistry,MMLU_college_computer_science,MMLU_college_mathematics,MMLU_college_medicine,MMLU_college_physics,MMLU_computer_security,MMLU_conceptual_physics,MMLU_econometrics,MMLU_electrical_engineering,MMLU_elementary_mathematics,MMLU_formal_logic,MMLU_global_facts,MMLU_high_school_biology,MMLU_high_school_chemistry,MMLU_high_school_computer_science,MMLU_high_school_european_history,MMLU_high_school_geography,MMLU_high_school_government_and_politics,MMLU_high_school_macroeconomics,MMLU_high_school_mathematics,MMLU_high_school_microeconomics,MMLU_high_school_physics,MMLU_high_school_psychology,MMLU_high_school_statistics,MMLU_high_school_us_history,MMLU_high_school_world_history,MMLU_human_aging,MMLU_human_sexuality,MMLU_international_law,MMLU_jurisprudence,MMLU_logical_fallacies,MMLU_machine_learning,MMLU_management,MMLU_marketing,MMLU_medical_genetics,MMLU_miscellaneous,MMLU_moral_disputes,MMLU_moral_scenarios,MMLU_nutrition,MMLU_philosophy,MMLU_prehistory,MMLU_professional_accounting,MMLU_professional_law,MMLU_professional_medicine,MMLU_professional_psychology,MMLU_public_relations,MMLU_security_studies,MMLU_sociology,MMLU_us_foreign_policy,MMLU_virology,MMLU_world_religions,harness|truthfulqa:mc1,harness|truthfulqa:mc2
SparseOPT-1.3B,shaohang,1.3,0.24061433447098976,0.3836885082652858,0.2559628529236627,0.22,0.21481481481481482,0.15789473684210525,0.2,0.21132075471698114,0.20833333333333334,0.19,0.33,0.24,0.26011560693641617,0.23529411764705882,0.3,0.2127659574468085,0.23684210526315788,0.2413793103448276,0.2566137566137566,0.3333333333333333,0.2,0.23225806451612904,0.2315270935960591,0.23,0.26666666666666666,0.2474747474747475,0.3005181347150259,0.3487179487179487,0.21481481481481482,0.3445378151260504,0.24503311258278146,0.24954128440366974,0.4305555555555556,0.19607843137254902,0.25738396624472576,0.3094170403587444,0.2595419847328244,0.21487603305785125,0.25925925925925924,0.2392638036809816,0.2767857142857143,0.36893203883495146,0.26495726495726496,0.28,0.22860791826309068,0.2514450867052023,0.23575418994413408,0.2908496732026144,0.2057877813504823,0.25,0.2624113475177305,0.23859191655801826,0.4485294117647059,0.2549019607843137,0.23636363636363636,0.17142857142857143,0.22885572139303484,0.27,0.28313253012048195,0.21637426900584794,0.24112607099143207,0.3911461888082662
Athena-v1,IkariDev,,0.560580204778157,0.6315475004979088,0.5560519847435775,0.31,0.4962962962962963,0.5263157894736842,0.58,0.5962264150943396,0.5694444444444444,0.36,0.51,0.34,0.5317919075144508,0.29411764705882354,0.7,0.4085106382978723,0.30701754385964913,0.5310344827586206,0.32275132275132273,0.3492063492063492,0.4,0.6580645161290323,0.45320197044334976,0.55,0.6606060606060606,0.702020202020202,0.8186528497409327,0.5102564102564102,0.2814814814814815,0.5336134453781513,0.33774834437086093,0.7247706422018348,0.4212962962962963,0.7598039215686274,0.729957805907173,0.6681614349775785,0.6259541984732825,0.7272727272727273,0.7222222222222222,0.6809815950920245,0.3482142857142857,0.7378640776699029,0.7777777777777778,0.59,0.7420178799489144,0.6213872832369942,0.3206703910614525,0.6078431372549019,0.6430868167202572,0.6574074074074074,0.40425531914893614,0.3924380704041721,0.5257352941176471,0.5408496732026143,0.6454545454545455,0.6408163265306123,0.7512437810945274,0.83,0.4939759036144578,0.7251461988304093,0.3329253365973072,0.46581061317648736
Athena-tmp,IkariDev,,0.5674061433447098,0.6218880701055567,0.5886853623447243,0.29,0.5185185185185185,0.6381578947368421,0.62,0.6075471698113207,0.7083333333333334,0.38,0.46,0.33,0.5433526011560693,0.38235294117647056,0.68,0.502127659574468,0.3157894736842105,0.5103448275862069,0.35185185185185186,0.40476190476190477,0.41,0.6451612903225806,0.458128078817734,0.62,0.7636363636363637,0.7727272727272727,0.8497409326424871,0.6205128205128205,0.34814814814814815,0.6134453781512605,0.3509933774834437,0.7963302752293578,0.4212962962962963,0.8137254901960784,0.7890295358649789,0.6547085201793722,0.6564885496183206,0.71900826446281,0.7592592592592593,0.7116564417177914,0.36607142857142855,0.7281553398058253,0.8205128205128205,0.57,0.7790549169859514,0.6445086705202312,0.44692737430167595,0.630718954248366,0.6913183279742765,0.6944444444444444,0.450354609929078,0.46284224250325945,0.5698529411764706,0.5882352941176471,0.6454545454545455,0.6530612244897959,0.7213930348258707,0.81,0.463855421686747,0.8011695906432749,0.38922888616891066,0.5536706803409501
Athena-v3,IkariDev,,0.5930034129692833,0.6538538139812786,0.5786624127112051,0.36,0.5037037037037037,0.5657894736842105,0.54,0.5924528301886792,0.6319444444444444,0.39,0.48,0.39,0.5375722543352601,0.28431372549019607,0.7,0.49361702127659574,0.2982456140350877,0.503448275862069,0.3439153439153439,0.40476190476190477,0.34,0.6612903225806451,0.4482758620689655,0.59,0.6909090909090909,0.7222222222222222,0.8238341968911918,0.5641025641025641,0.31851851851851853,0.6302521008403361,0.37748344370860926,0.781651376146789,0.4398148148148148,0.7941176470588235,0.7552742616033755,0.695067264573991,0.648854961832061,0.7520661157024794,0.7685185185185185,0.6871165644171779,0.375,0.6699029126213593,0.8076923076923077,0.61,0.7726692209450831,0.6445086705202312,0.5050279329608939,0.6437908496732027,0.6655948553054662,0.6358024691358025,0.43617021276595747,0.4426336375488918,0.5551470588235294,0.5866013071895425,0.6454545454545455,0.6489795918367347,0.736318407960199,0.84,0.463855421686747,0.7894736842105263,0.35862913096695226,0.5126008436421456
13B-Legerdemain-L2,CalderaAI,13.0,0.5733788395904437,0.6354311890061741,0.560029583145915,0.36,0.5259259259259259,0.5723684210526315,0.53,0.6377358490566037,0.625,0.47,0.43,0.3,0.5375722543352601,0.2549019607843137,0.69,0.425531914893617,0.2894736842105263,0.503448275862069,0.32275132275132273,0.35714285714285715,0.3,0.6709677419354839,0.49261083743842365,0.59,0.6545454545454545,0.7272727272727273,0.8031088082901554,0.5435897435897435,0.3148148148148148,0.592436974789916,0.3443708609271523,0.7321100917431193,0.4722222222222222,0.7598039215686274,0.729957805907173,0.6547085201793722,0.6183206106870229,0.7355371900826446,0.7777777777777778,0.6871165644171779,0.3125,0.7281553398058253,0.7991452991452992,0.54,0.7471264367816092,0.6329479768786127,0.27039106145251396,0.6274509803921569,0.6302250803858521,0.6049382716049383,0.42907801418439717,0.424380704041721,0.5220588235294118,0.5326797385620915,0.6090909090909091,0.636734693877551,0.7661691542288557,0.87,0.42771084337349397,0.7777777777777778,0.29498164014687883,0.41994524774434294
13B-Thorns-l2,CalderaAI,13.0,0.5964163822525598,0.6329416450906195,0.5695357149878933,0.38,0.5259259259259259,0.5592105263157895,0.57,0.5962264150943396,0.5972222222222222,0.39,0.48,0.39,0.5086705202312138,0.24509803921568626,0.68,0.44680851063829785,0.2894736842105263,0.47586206896551725,0.335978835978836,0.3492063492063492,0.41,0.6483870967741936,0.39901477832512317,0.56,0.6909090909090909,0.696969696969697,0.8238341968911918,0.5282051282051282,0.3296296296296296,0.5714285714285714,0.3576158940397351,0.7596330275229358,0.4074074074074074,0.7598039215686274,0.7679324894514767,0.6905829596412556,0.6183206106870229,0.768595041322314,0.7037037037037037,0.7055214723926381,0.4375,0.7184466019417476,0.811965811965812,0.63,0.7598978288633461,0.6502890173410405,0.47039106145251397,0.6176470588235294,0.6334405144694534,0.6203703703703703,0.4574468085106383,0.4439374185136897,0.5183823529411765,0.5947712418300654,0.6454545454545455,0.6244897959183674,0.736318407960199,0.84,0.4578313253012048,0.7777777777777778,0.35128518971848227,0.49519847145337487
13B-Ouroboros,CalderaAI,13.0,0.560580204778157,0.6243776140211114,0.5143109726356007,0.31,0.4666666666666667,0.506578947368421,0.52,0.539622641509434,0.5347222222222222,0.37,0.4,0.35,0.4508670520231214,0.21568627450980393,0.65,0.4340425531914894,0.2982456140350877,0.45517241379310347,0.32275132275132273,0.30158730158730157,0.34,0.5806451612903226,0.3842364532019704,0.55,0.6545454545454545,0.6717171717171717,0.7046632124352331,0.45897435897435895,0.2111111111111111,0.49159663865546216,0.271523178807947,0.7045871559633028,0.3333333333333333,0.6862745098039216,0.7088607594936709,0.5919282511210763,0.6335877862595419,0.6942148760330579,0.5925925925925926,0.6073619631901841,0.44642857142857145,0.7184466019417476,0.7735042735042735,0.55,0.7177522349936143,0.5491329479768786,0.26033519553072626,0.5424836601307189,0.5369774919614148,0.558641975308642,0.36524822695035464,0.40547588005215124,0.48161764705882354,0.5245098039215687,0.6090909090909091,0.5387755102040817,0.6915422885572139,0.83,0.4578313253012048,0.7602339181286549,0.3268053855569155,0.47985714152263564
30B-Lazarus,CalderaAI,30.0,0.6245733788395904,0.6419040031866162,0.5647034983768845,0.3,0.5259259259259259,0.5986842105263158,0.57,0.5886792452830188,0.6180555555555556,0.4,0.49,0.31,0.4797687861271676,0.3137254901960784,0.67,0.4723404255319149,0.34210526315789475,0.4827586206896552,0.3783068783068783,0.3492063492063492,0.38,0.6709677419354839,0.39901477832512317,0.62,0.7090909090909091,0.7727272727272727,0.8134715025906736,0.541025641025641,0.26296296296296295,0.5882352941176471,0.33774834437086093,0.7431192660550459,0.46296296296296297,0.7647058823529411,0.7763713080168776,0.6547085201793722,0.6183206106870229,0.743801652892562,0.7037037037037037,0.6871165644171779,0.375,0.7184466019417476,0.8247863247863247,0.65,0.7701149425287356,0.6011560693641619,0.288268156424581,0.545751633986928,0.6655948553054662,0.6388888888888888,0.4326241134751773,0.4230769230769231,0.5551470588235294,0.5964052287581699,0.6181818181818182,0.5755102040816327,0.7412935323383084,0.81,0.463855421686747,0.7543859649122807,0.41370869033047736,0.5864523184962198
Luna-AI-Llama2-Uncensored,Tap-M,,0.5059726962457338,0.5972913762198765,0.46696083320641224,0.32,0.42962962962962964,0.3815789473684211,0.52,0.47924528301886793,0.4236111111111111,0.31,0.48,0.32,0.3988439306358382,0.20588235294117646,0.52,0.39574468085106385,0.37719298245614036,0.4689655172413793,0.291005291005291,0.30952380952380953,0.34,0.5193548387096775,0.3054187192118227,0.39,0.6484848484848484,0.5404040404040404,0.6632124352331606,0.43333333333333335,0.28888888888888886,0.40756302521008403,0.304635761589404,0.6073394495412844,0.3194444444444444,0.5637254901960784,0.6624472573839663,0.5739910313901345,0.5419847328244275,0.5950413223140496,0.5185185185185185,0.49079754601226994,0.42857142857142855,0.49514563106796117,0.7136752136752137,0.52,0.6296296296296297,0.5375722543352601,0.25921787709497207,0.5228758169934641,0.5466237942122186,0.5154320987654321,0.39361702127659576,0.35853976531942633,0.4963235294117647,0.45751633986928103,0.5636363636363636,0.46938775510204084,0.5870646766169154,0.7,0.4036144578313253,0.672514619883041,0.3011015911872705,0.4549604134105272
LLaMA_2_13B_SFT_v0,adonlee,13.0,0.5733788395904437,0.6389165504879506,0.583895260875457,0.3,0.43703703703703706,0.5657894736842105,0.59,0.6188679245283019,0.6597222222222222,0.4,0.46,0.32,0.5433526011560693,0.3333333333333333,0.7,0.46382978723404256,0.30701754385964913,0.5379310344827586,0.3439153439153439,0.4126984126984127,0.39,0.6967741935483871,0.45320197044334976,0.63,0.7151515151515152,0.7373737373737373,0.8497409326424871,0.5743589743589743,0.2814814814814815,0.6008403361344538,0.32450331125827814,0.7834862385321101,0.4212962962962963,0.7990196078431373,0.8185654008438819,0.6591928251121076,0.6793893129770993,0.7603305785123967,0.7222222222222222,0.7239263803680982,0.4107142857142857,0.7378640776699029,0.8504273504273504,0.61,0.7803320561941252,0.6647398843930635,0.4301675977653631,0.5882352941176471,0.6784565916398714,0.6759259259259259,0.4716312056737589,0.4667535853976532,0.5551470588235294,0.6013071895424836,0.6181818181818182,0.6448979591836734,0.7711442786069652,0.84,0.4939759036144578,0.7777777777777778,0.3574051407588739,0.49917554427398053
